"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TMAX","TMIN","TOBS"
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-04-23","0.00","44","36",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-04-24","0.05","40","23",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-04-25","0.00","39","11",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-04-26","0.00","34","15",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-04-27","0.00","49","18",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-04-28","0.00","41","24",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-04-29","0.00","43","22",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-04-30","0.00","35","22",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-05-01","0.00","27","10",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-05-02","0.00","31","16",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-05-03","0.72","30","18",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-05-04","1.71","40","29",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-05-05","0.00","46","33",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-05-06","0.00","41","32",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-05-07","0.00","43","29",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-05-08","0.00","51","36",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-05-09","0.00","54","29",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-05-10","0.00","53","25",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-05-11","0.00","56","33",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-05-12","0.00","62","29",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-05-13","0.00","62","30",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-05-14","0.00","62","31",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-05-15","0.00","58","35",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-05-16","0.00","56","33",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-05-17","0.00","62","31",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-05-18","0.00","62","32",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-05-19","0.00","57","33",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-05-20","0.02","54","36",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-05-21","0.15","55","35",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-05-22","0.48","50","33",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-05-23","0.00","54","35",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-05-24","0.00","52","33",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-05-25","0.00","56","36",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-05-26","0.00","56","26",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-05-27","0.22","50","34",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-05-28","0.08","51","35",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-05-29","0.02","51","39",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-05-30","0.00","54","38",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-05-31","0.00","53","35",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-06-01","0.00","58","28",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-06-02","0.00","62","33",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-06-03","0.00","58","42",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-06-04","0.00","61","34",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-06-05","0.00","67","51",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-06-06","0.00","73","48",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-06-07","0.00","76","46",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-06-08","0.00","74","38",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-06-09","2.26","62","43",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-06-10","0.26","55","39",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-06-11","0.00","69","32",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-06-12","0.00","70","40",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-06-13","0.00","66","49",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-06-14","0.00","62","39",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-06-15","0.00","62","38",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-06-16","0.00","62","41",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-06-17","0.00","64","35",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-06-18","0.00","62","34",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-06-19","0.00","61","37",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-06-20","0.00","71","48",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-06-21","0.35","62","46",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-06-22","0.05","55","37",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-06-23","0.28","51","43",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-06-24","0.23","52","42",
"USC00505778","MCKINLEY PARK, AK US","63.7175","-148.9692","630.9","1923-06-25","0.39","48","36",
